Data,Dia da Semana,Feriado,Year
1/1/2001,segunda-feira,Confraternização Universal,2001
2/26/2001,segunda-feira,Carnaval,2001
2/27/2001,terça-feira,Carnaval,2001
4/13/2001,sexta-feira,Paixão de Cristo,2001
4/21/2001,sábado,Tiradentes,2001
5/1/2001,terça-feira,Dia do Trabalho,2001
6/14/2001,quinta-feira,Corpus Christi,2001
9/7/2001,sexta-feira,Independência do Brasil,2001
10/12/2001,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil,2001
11/2/2001,sexta-feira,Finados,2001
11/15/2001,quinta-feira,Proclamação da República,2001
12/25/2001,terça-feira,Natal,2001
1/1/2002,terça-feira,Confraternização Universal,2002
2/11/2002,segunda-feira,Carnaval,2002
2/12/2002,terça-feira,Carnaval,2002
3/29/2002,sexta-feira,Paixão de Cristo,2002
4/21/2002,domingo,Tiradentes,2002
5/1/2002,quarta-feira,Dia do Trabalho,2002
5/30/2002,quinta-feira,Corpus Christi,2002
9/7/2002,sábado,Independência do Brasil,2002
10/12/2002,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil,2002
11/2/2002,sábado,Finados,2002
11/15/2002,sexta-feira,Proclamação da República,2002
12/25/2002,quarta-feira,Natal,2002
1/1/2003,quarta-feira,Confraternização Universal,2003
3/3/2003,segunda-feira,Carnaval,2003
3/4/2003,terça-feira,Carnaval,2003
4/18/2003,sexta-feira,Paixão de Cristo,2003
4/21/2003,segunda-feira,Tiradentes,2003
5/1/2003,quinta-feira,Dia do Trabalho,2003
6/19/2003,quinta-feira,Corpus Christi,2003
9/7/2003,domingo,Independência do Brasil,2003
10/12/2003,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil,2003
11/2/2003,domingo,Finados,2003
11/15/2003,sábado,Proclamação da República,2003
12/25/2003,quinta-feira,Natal,2003
1/1/2004,quinta-feira,Confraternização Universal,2004
2/23/2004,segunda-feira,Carnaval,2004
2/24/2004,terça-feira,Carnaval,2004
4/9/2004,sexta-feira,Paixão de Cristo,2004
4/21/2004,quarta-feira,Tiradentes,2004
5/1/2004,sábado,Dia do Trabalho,2004
6/10/2004,quinta-feira,Corpus Christi,2004
9/7/2004,terça-feira,Independência do Brasil,2004
10/12/2004,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil,2004
11/2/2004,terça-feira,Finados,2004
11/15/2004,segunda-feira,Proclamação da República,2004
12/25/2004,sábado,Natal,2004
1/1/2005,sábado,Confraternização Universal,2005
2/7/2005,segunda-feira,Carnaval,2005
2/8/2005,terça-feira,Carnaval,2005
3/25/2005,sexta-feira,Paixão de Cristo,2005
4/21/2005,quinta-feira,Tiradentes,2005
5/1/2005,domingo,Dia do Trabalho,2005
5/26/2005,quinta-feira,Corpus Christi,2005
9/7/2005,quarta-feira,Independência do Brasil,2005
10/12/2005,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil,2005
11/2/2005,quarta-feira,Finados,2005
11/15/2005,terça-feira,Proclamação da República,2005
12/25/2005,domingo,Natal,2005
1/1/2006,domingo,Confraternização Universal,2006
2/27/2006,segunda-feira,Carnaval,2006
2/28/2006,terça-feira,Carnaval,2006
4/14/2006,sexta-feira,Paixão de Cristo,2006
4/21/2006,sexta-feira,Tiradentes,2006
5/1/2006,segunda-feira,Dia do Trabalho,2006
6/15/2006,quinta-feira,Corpus Christi,2006
9/7/2006,quinta-feira,Independência do Brasil,2006
10/12/2006,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil,2006
11/2/2006,quinta-feira,Finados,2006
11/15/2006,quarta-feira,Proclamação da República,2006
12/25/2006,segunda-feira,Natal,2006
1/1/2007,segunda-feira,Confraternização Universal,2007
2/19/2007,segunda-feira,Carnaval,2007
2/20/2007,terça-feira,Carnaval,2007
4/6/2007,sexta-feira,Paixão de Cristo,2007
4/21/2007,sábado,Tiradentes,2007
5/1/2007,terça-feira,Dia do Trabalho,2007
6/7/2007,quinta-feira,Corpus Christi,2007
9/7/2007,sexta-feira,Independência do Brasil,2007
10/12/2007,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil,2007
11/2/2007,sexta-feira,Finados,2007
11/15/2007,quinta-feira,Proclamação da República,2007
12/25/2007,terça-feira,Natal,2007
1/1/2008,terça-feira,Confraternização Universal,2008
2/4/2008,segunda-feira,Carnaval,2008
2/5/2008,terça-feira,Carnaval,2008
3/21/2008,sexta-feira,Paixão de Cristo,2008
4/21/2008,segunda-feira,Tiradentes,2008
